ID,Coumpound ID,Ionizable (1-4),"Phospho (1, 2)",Helper (1-3),"PEG (1,2)",# amines in ionizable lipid,Size (d.nm),Zeta (mV),PDI,EE%,Tumor.expression,Tumor
1,LNP1,1,1,1,1,5,143.8,-10.5,0.2,97.6,1.43E+05,1.07E+09
2,LNP1,1,1,1,1,5,,,,,1.21E+06,1.43E+09
3,LNP1,1,1,1,1,5,,,,,2.27E+06,1.22E+09
4,LNP1,1,1,1,1,5,,,,,6.25E+05,9.41E+08
5,LNP1,1,1,1,1,5,,,,,5.07E+06,1.99E+09
6,LNP2,1,1,2,1,5,114.7,-17.3,0.2,97.1,3.07E+06,4.77E+08
7,LNP2,1,1,2,1,5,,,,,6.18E+06,3.28E+08
8,LNP2,1,1,2,1,5,,,,,5.27E+06,2.76E+09
9,LNP2,1,1,2,1,5,,,,,1.30E+05,2.33E+08
10,LNP2,1,1,2,1,5,,,,,3.04E+05,4.72E+08
231,LNP47,4,2,2,2,6,225.4,4,0.1,96,2.38E+07,1.46E+09
232,LNP47,4,2,2,2,6,,,,,1.06E+07,1.28E+09
233,LNP47,4,2,2,2,6,,,,,1.32E+07,1.11E+09
234,LNP47,4,2,2,2,6,,,,,1.27E+07,1.37E+09
235,LNP47,4,2,2,2,6,,,,,1.86E+07,1.92E+09
236,LNP48,4,2,3,2,6,142.4,-1.3,0,94.8,2.16E+08,1.07E+09
237,LNP48,4,2,3,2,6,,,,,4.63E+08,1.43E+09
238,LNP48,4,2,3,2,6,,,,,3.31E+08,1.22E+09
239,LNP48,4,2,3,2,6,,,,,3.11E+08,9.41E+08
240,LNP48,4,2,3,2,6,,,,,9.32E+08,1.99E+09
